209,101,95,215111,1
210,103,97,215111,1
206,101,96,215111,1
207,104,97,215111,1
209,100,95,215111,1
150,11,30,97584,3
168,50,60,97584,3
158,20,36,97584,3
149,10,29,97584,3
150,11,30,97584,3
146,9,29,76630,4
146,8,28,76630,4
147,10,30,76630,4
146,9,29,76630,4
141,6,27,76630,4
207,101,94,126515,1
208,102,95,126515,1
206,100,93,126515,1
206,100,93,126515,1
208,101,95,126515,1
96,2,11,28781,4
94,2,10,28781,4
98,2,12,28781,4
95,1,10,28781,4
98,3,12,28781,4
155,19,34,72056,3
163,28,41,72056,3
159,27,39,72056,3
155,20,34,72056,3
155,20,34,72056,3
155,12,28,50801,4
166,46,55,50801,4
153,9,26,50801,4
154,12,28,50801,4
166,40,51,50801,4
142,3,23,70059,4
134,0,20,70059,4
140,3,22,70059,4
146,5,25,70059,4
142,4,22,70059,4
196,67,68,137405,1
197,64,66,137405,1
195,67,68,137405,1
196,65,66,137405,1
197,68,69,137405,1
164,39,51,53055,4
167,29,42,53055,4
167,44,56,53055,4
171,48,60,53055,4
167,30,43,53055,4
141,4,26,37275,3
144,6,28,37275,3
140,3,25,37275,3
141,4,25,37275,3
141,4,27,37275,3
203,115,106,144824,1
204,115,106,144824,1
203,115,106,144824,1
203,115,106,144824,1
204,115,106,144824,1
118,9,25,80332,4
124,11,28,80332,4
124,9,26,80332,4
115,6,23,80332,4
120,10,27,80332,4
189,54,57,54167,1
188,52,56,54167,1
190,47,52,54167,1
188,44,49,54167,1
190,55,58,54167,1
173,28,39,57921,3
174,28,39,57921,3
171,28,38,57921,3
173,28,39,57921,3
173,28,39,57921,3
189,61,63,90490,1
190,56,60,90490,1
189,62,64,90490,1
188,66,67,90490,1
189,61,63,90490,1
166,29,39,54982,3
170,36,44,54982,3
165,26,37,54982,3
167,30,40,54982,3
167,30,39,54982,3
179,35,45,89896,3
180,35,46,89896,3
178,34,45,89896,3
181,36,47,89896,3
181,36,47,89896,3
188,55,60,86175,1
188,52,57,86175,1
188,52,58,86175,1
186,48,54,86175,1
189,55,60,86175,1
165,34,47,67675,3
164,26,41,67675,3
167,38,50,67675,3
164,29,43,67675,3
166,33,46,67675,3
146,4,23,42811,4
147,5,24,42811,4
145,4,23,42811,4
145,4,23,42811,4
148,5,25,42811,4
131,12,28,43283,4
129,9,26,43283,4
145,41,52,43283,4
145,41,52,43283,4
130,10,27,43283,4
186,52,56,133255,1
187,51,56,133255,1
185,52,55,133255,1
185,51,55,133255,1
187,52,56,133255,1
203,88,78,174093,1
203,88,78,174093,1
205,85,76,174093,1
204,90,79,174093,1
203,83,74,174093,1
196,81,76,136564,1
199,83,78,136564,1
194,79,74,136564,1
196,82,76,136564,1
197,80,75,136564,1
161,21,34,51402,4
167,30,41,51402,4
160,20,34,51402,4
160,20,33,51402,4
169,41,50,51402,4
198,86,76,169112,1
201,89,79,169112,1
196,80,71,169112,1
197,82,73,169112,1
199,87,77,169112,1
207,103,91,135732,1
209,106,95,135732,1
205,99,88,135732,1
206,103,91,135732,1
207,102,91,135732,1
176,33,43,106410,2
179,35,45,106410,2
173,32,42,106410,2
175,33,43,106410,2
177,33,44,106410,2
204,104,95,162998,1
205,106,96,162998,1
202,103,93,162998,1
203,101,92,162998,1
205,106,97,162998,1
155,15,32,77678,4
157,17,34,77678,4
150,12,29,77678,4
154,15,31,77678,4
155,13,31,77678,4
80,4,18,54886,4
81,4,19,54886,4
125,11,29,54886,4
80,4,18,54886,4
80,4,18,54886,4
168,26,40,56629,3
167,26,40,56629,3
170,29,42,56629,3
169,30,42,56629,3
167,26,40,56629,3
162,26,40,90574,3
164,31,45,90574,3
160,24,38,90574,3
155,16,34,90574,3
161,27,41,90574,3
147,11,29,64778,4
134,4,23,64778,4
148,11,30,64778,4
143,6,25,64778,4
122,1,19,64778,4
157,44,54,57743,4
161,44,55,57743,4
156,29,43,57743,4
139,2,20,57743,4
156,21,37,57743,4
143,25,41,76843,4
162,67,75,76843,4
151,27,42,76843,4
142,23,40,76843,4
144,26,42,76843,4
172,30,43,53324,3
172,29,43,53324,3
174,35,48,53324,3
172,30,44,53324,3
172,30,43,53324,3
