names,R,G,B,Output,Area
A,209,101,95,8,215111
A1,210,103,97,8,215111
A2,206,101,96,8,215111
A3,207,104,97,8,215111
A4,209,100,95,8,215111
Annie,150,11,30,40,97584
Annie1,168,50,60,40,97584
Annie2,158,20,36,40,97584
Annie3,149,10,29,40,97584
Annie4,150,11,30,40,97584
Archie,146,9,29,44,76630
Archie1,146,8,28,44,76630
Archie2,147,10,30,44,76630
Archie3,146,9,29,44,76630
Archie4,141,6,27,44,76630
B,207,101,94,7,126515
B1,208,102,95,7,126515
B2,206,100,93,7,126515
B3,206,100,93,7,126515
B4,208,101,95,7,126515
Bag,96,2,11,60,28781
Bag1,94,2,10,60,28781
Bag2,98,2,12,60,28781
Bag3,95,1,10,60,28781
Bag4,98,3,12,60,28781
Bianco,155,19,34,35,72056
Bianco1,163,28,41,35,72056
Bianco2,159,27,39,35,72056
Bianco3,155,20,34,35,72056
Bianco4,155,20,34,35,72056
Daisy,118,9,25,51,80332
Daisy1,124,11,28,51,80332
Daisy2,124,9,26,51,80332
Daisy3,115,6,23,51,80332
Daisy4,120,10,27,51,80332
Floyd,189,54,57,19,54167
Floyd1,188,52,56,19,54167
Floyd2,190,47,52,19,54167
Floyd3,188,44,49,19,54167
Floyd4,190,55,58,19,54167
Gigha,173,28,39,36,57921
Gigha1,174,28,39,36,57921
Gigha2,171,28,38,36,57921
Gigha3,173,28,39,36,57921
Gigha4,173,28,39,36,57921
Gracie,189,61,63,15,90490
Gracie1,190,56,60,15,90490
Gracie2,189,62,64,15,90490
Gracie3,188,66,67,15,90490
Gracie4,189,61,63,15,90490
Gus,166,29,39,31,54982
Gus1,170,36,44,31,54982
Gus2,165,26,37,31,54982
Gus3,167,30,40,31,54982
Gus4,167,30,39,31,54982
Isla,179,35,45,32,89896
Isla1,180,35,46,32,89896
Isla2,178,34,45,32,89896
Isla3,181,36,47,32,89896
Isla4,181,36,47,32,89896
Juno,188,55,60,19,86175
Juno1,188,52,57,19,86175
Juno2,188,52,58,19,86175
Juno3,186,48,54,19,86175
Juno4,189,55,60,19,86175
Lady,165,34,47,39,67675
Lady1,164,26,41,39,67675
Lady2,167,38,50,39,67675
Lady3,164,29,43,39,67675
Lady4,166,33,46,39,67675
Lester,146,4,23,54,42811
Lester1,147,5,24,54,42811
Lester2,145,4,23,54,42811
Lester3,145,4,23,54,42811
Lester4,148,5,25,54,42811
Lola,131,12,28,49,43283
Lola1,129,9,26,49,43283
Lola2,145,41,52,49,43283
Lola3,145,41,52,49,43283
Lola4,130,10,27,49,43283
M1,186,52,56,15,133255
M11,187,51,56,15,133255
M12,185,52,55,15,133255
M13,185,51,55,15,133255
M14,187,52,56,15,133255
M2,203,88,78,6,174093
M21,203,88,78,6,174093
M22,205,85,76,6,174093
M23,204,90,79,6,174093
M24,203,83,74,6,174093
M3,196,81,76,7,136564
M31,199,83,78,7,136564
M32,194,79,74,7,136564
M33,196,82,76,7,136564
M34,197,80,75,7,136564
Maggie,161,21,34,43,51402
Maggie1,167,30,41,43,51402
Maggie2,160,20,34,43,51402
Maggie3,160,20,33,43,51402
Maggie4,169,41,50,43,51402
N1,198,86,76,6,169112
N11,201,89,79,6,169112
N12,196,80,71,6,169112
N13,197,82,73,6,169112
N14,199,87,77,6,169112
N2,207,103,91,5,135732
N21,209,106,95,5,135732
N22,205,99,88,5,135732
N23,206,103,91,5,135732
N24,207,102,91,5,135732
N3,176,33,43,25,106410
N31,179,35,45,25,106410
N32,173,32,42,25,106410
N33,175,33,43,25,106410
N34,177,33,44,25,106410
N4,204,104,95,5,162998
N41,205,106,96,5,162998
N42,202,103,93,5,162998
N43,203,101,92,5,162998
N44,205,106,97,5,162998
Noah,155,15,32,45,77678
Noah1,157,17,34,45,77678
Noah2,150,12,29,45,77678
Noah3,154,15,31,45,77678
Noah4,155,13,31,45,77678
Odin,80,4,18,56,54886
Odin1,81,4,19,56,54886
Odin2,125,11,29,56,54886
Odin3,80,4,18,56,54886
Odin4,80,4,18,56,54886
Pineau,168,26,40,40,56629
Pineau1,167,26,40,40,56629
Pineau2,170,29,42,40,56629
Pineau3,169,30,42,40,56629
Pineau4,167,26,40,40,56629
Pippa,162,26,40,40,90574
Pippa1,164,31,45,40,90574
Pippa2,160,24,38,40,90574
Pippa3,155,16,34,40,90574
Pippa4,161,27,41,40,90574
Rory,147,11,29,42,64778
Rory1,134,4,23,42,64778
Rory2,148,11,30,42,64778
Rory3,143,6,25,42,64778
Rory4,122,1,19,42,64778
Rossi,157,44,54,50,57743
Rossi1,161,44,55,50,57743
Rossi2,156,29,43,50,57743
Rossi3,139,2,20,50,57743
Rossi4,156,21,37,50,57743
Shifty,143,25,41,50,76843
Shifty1,162,67,75,50,76843
Shifty2,151,27,42,50,76843
Shifty3,142,23,40,50,76843
Shifty4,144,26,42,50,76843
Sula,172,30,43,36,53324
Sula1,172,29,43,36,53324
Sula2,174,35,48,36,53324
Sula3,172,30,44,36,53324
Sula4,172,30,43,36,53324
