name	area	PCV
A	215111	8
Annie	97584	40
Archie	76630	44
B	126515	7
Bag	28781	60
Bianco	72056	35
Bo	50801	45
Buster	70059	46
C	137405	15
Callie	53055	40
Cleo	37275	55
D	144824	5
Daisy	80332	51
Floyd	54167	19
Gigha	57921	36
Gracie	90490	15
Gus	54982	31
Isla	89896	32
Juno	86175	19
Lady	67675	39
Lester	42811	54
Lola	43283	49
M1	133255	15
M2	174093	6
M3	136564	7
Maggie	51402	43
N1	169112	6
N2	135732	5
N3	106410	25
N4	162998	5
Noah	77678	45
Odin	54886	56
Pineau	56629	40
Pippa	90574	40
Rory	64778	42
Rossi	57743	50
Shifty	76843	50
Sula	53324	36
